t,A_metal,B_metal,sigma_metal,C_metal,A_gas,B_gas,sigma_gas,C_gas
0.45,8777684.490272794,-8776959.319036413,2.008940343371463,-70346.42996761075,7445940.078155944,-7445263.865586082,-2.047451200882667,-57447.44593599881
0.46,9081295.929198096,-9080572.513841769,2.0183271331296213,-72106.75479422076,5768827.453947992,-5768152.330411343,-1.9124199738664274,-50993.39194556426
0.47,9427030.787740186,-9426309.096491,2.029739797081826,-74015.49966817234,7846263.301875136,-7845589.256803303,-2.056966687466913,-59980.00815648845
0.48,9097466.908711877,-9096746.91147733,2.004515710265718,-73232.15379252927,5849834.655431501,-5849161.685378124,-1.9033912049439636,-52200.58826486529
0.49,9855372.901567621,-9854654.569946611,2.037968935075569,-76757.78486122175,8637497.349809486,-8636825.443655083,2.090293308970515,-63946.82900351242
0.5,9324949.292202402,-9324232.599657906,2.003137008511432,-75167.44569555188,8718443.039762408,-8717772.190198481,2.087221962780397,-64736.179742793334
0.51,9842735.990120996,-9842020.907005087,2.0238084014356206,-77733.85871746457,8469619.37501534,-8468949.574712047,2.0644881073320094,-64277.783980798864
0.52,10642969.11943353,-10642255.618655855,2.057297559096485,-81347.51085097047,8505503.90576854,-8504835.145097315,2.0592807577902543,-64876.55604317828
0.53,13699453.936912308,-13698741.990406893,2.1848547754275462,-92868.91976781654,8713684.123192558,-8713016.394814065,2.064561118805388,-66126.39207646697
0.54,10463133.006206507,-10462422.59257152,2.0362263923697035,-81633.06357336433,8759250.602410648,-8758583.895203605,2.060302813605523,-66746.9541472703
0.55,9371336.922545634,-9370628.016599253,1.9750953952911043,-77697.80236653575,7019854.586611153,-7019188.894532181,1.942782287724163,-60138.8269226494
0.56,12038347.060779914,-12037639.637331478,2.0970473235956058,-88568.78657837989,8738286.3121411,-8737621.624558765,2.0457359422509778,-67537.08505787917
0.57,11331975.22447854,-11331269.258374615,2.0599782090936127,-86391.72834327357,8650207.05052849,-8649543.358331997,2.0342291641631496,-67613.09878775364
0.58,10950267.205823297,-10949562.676113224,2.0370198758787703,-85369.3569777353,8668115.249667311,-8667452.543779878,2.02915044307585,-68092.14450030375
0.59,12764255.203208318,-12763552.085686333,2.1113498991955835,-92646.21023045783,8496906.514036655,-8496244.786160497,2.0131093043921164,-67812.49374576354
0.6,11296383.249340229,-11295681.523721958,2.0426935020368258,-87581.50795836434,8775034.020103732,-8774373.259465639,2.0236404053051062,-69307.78186291561
0.61,13834146.54108409,-13833446.185719037,2.143862147033691,-97397.74393421484,8698527.008645179,-8697867.20849605,2.013582967683479,-69389.98146595157
0.62,16873320.46292094,-16872621.455140445,2.247926281874981,-108074.89853437267,9990965.047325492,-9990306.194782712,2.0790617453640254,-74772.9456832383
0.63,13331809.360161476,-13331111.681890422,2.114408880824942,-96488.57564292554,8680945.23845899,-8680287.328383943,2.0018705515139685,-70060.93567187797
0.64,10089459.43818331,-10088763.070512498,1.9675790944915865,-84294.88013184958,8485831.933460781,-8485174.954630429,1.985428706816169,-69622.27470581277
0.65,16419140.32947496,-16418445.249747328,2.217991128336673,-108018.68128109559,9203929.473406522,-9203273.416952014,2.0211900020545737,-72873.53150242445
0.66,16942474.50221327,-16941780.69294481,2.2308722110902557,-110181.51588267372,8951745.951886265,-8951090.808140013,2.0023319183889687,-72214.66676845508
0.67,16842049.84157995,-16841357.282498002,2.2231225376218653,-110292.13801613804,8696765.970804842,-8696111.731493529,1.9832124830477644,-71513.34844531977
0.68,12922621.994996065,-12921930.672452472,2.0763999273165856,-96975.95645271658,8660394.542339336,-8659741.199674614,1.9765676396332792,-71692.8902648422
